ky	kx	wcc_0	wcc_1
0.0	0.0	-0.1839268544251646	-0.18392685442516438
0.0	0.025	-0.18542167520655506	-0.1824255234306828
0.0	0.05	-0.18687500402377194	-0.18095327167007208
0.0	0.07500000000000001	-0.18825330128296686	-0.17954540485695125
0.0	0.1	-0.1895252219829381	-0.17823602706085082
0.0	0.125	-0.19066226849128778	-0.1770571296842564
0.0	0.15000000000000002	-0.19163933451410203	-0.17603772093846876
0.0	0.17500000000000002	-0.19243513950171764	-0.1752030273443604
0.0	0.2	-0.1930325598653177	-0.17457379496812162
0.0	0.225	-0.1934188683066161	-0.17416571325917363
0.0	0.25	-0.19358589471728382	-0.17398897913455136
0.0	0.275	-0.19353012137796854	-0.17404801382054297
0.0	0.30000000000000004	-0.1932527219258018	-0.17434134015380703
0.0	0.325	-0.19275954849087895	-0.17486162356989857
0.0	0.35000000000000003	-0.1920610655115698	-0.1755958757084245
0.0	0.375	-0.1911722231251916	-0.17652581520461413
0.0	0.4	-0.19011225875566984	-0.17762837560682207
0.0	0.42500000000000004	-0.18890441345641584	-0.1788763453739959
0.0	0.45	-0.18757555026443648	-0.1802391196843535
0.0	0.47500000000000003	-0.18615566540579073	-0.18168353868174908
0.0	0.5	-0.18467728932004468	-0.18317478236881143
0.0	0.525	-0.1846772893200445	-0.18317478236881132
0.0	0.55	-0.18615566540579093	-0.18168353868174922
0.0	0.5750000000000001	-0.1875755502644365	-0.1802391196843536
0.0	0.6000000000000001	-0.18890441345641582	-0.1788763453739961
0.0	0.625	-0.1901122587556699	-0.17762837560682213
0.0	0.65	-0.19117222312519144	-0.1765258152046142
0.0	0.675	-0.1920610655115698	-0.17559587570842455
0.0	0.7000000000000001	-0.19275954849087876	-0.17486162356989882
0.0	0.7250000000000001	-0.1932527219258018	-0.17434134015380706
0.0	0.75	-0.19353012137796843	-0.17404801382054322
0.0	0.775	-0.19358589471728382	-0.17398897913455125
0.0	0.8	-0.193418868306616	-0.17416571325917377
0.0	0.8250000000000001	-0.1930325598653175	-0.1745737949681217
0.0	0.8500000000000001	-0.1924351395017175	-0.1752030273443604
0.0	0.875	-0.19163933451410198	-0.17603772093846887
0.0	0.9	-0.1906622684912876	-0.17705712968425652
0.0	0.925	-0.18952522198293786	-0.17823602706085098
0.0	0.9500000000000001	-0.18825330128296647	-0.1795454048569514
0.0	0.9750000000000001	-0.186875004023772	-0.18095327167007225
0.0	1.0	-0.18542167520655495	-0.1824255234306829
0.025	0.0	-0.21320573601699233	-0.14708788205644732
0.025	0.025	-0.21431205055872704	-0.14521583958430576
0.025	0.05	-0.2153897840886166	-0.14338063023664077
0.025	0.07500000000000001	-0.21641347581383955	-0.14162670506411104
0.025	0.1	-0.21735930505354986	-0.13999673212001304
0.025	0.125	-0.21820561858385376	-0.13853045558389918
0.025	0.15000000000000002	-0.21893335664306846	-0.13726365662149134
0.025	0.17500000000000002	-0.21952638291212684	-0.13622724187259827
0.025	0.2	-0.21997172890878608	-0.13544647722912528
0.025	0.225	-0.2202597658982535	-0.13494037753911944
0.025	0.25	-0.22038431776219655	-0.1347212575591131
0.025	0.275	-0.22034272653718306	-0.13479444607007166
0.025	0.30000000000000004	-0.22013587893197803	-0.13515816341079093
0.025	0.325	-0.21976819759528826	-0.13580356229391613
0.025	0.35000000000000003	-0.21924759586254552	-0.13671493196616433
0.025	0.375	-0.21858538983694215	-0.13787006577305844
0.025	0.4	-0.2177961576162353	-0.13924079123857652
0.025	0.42500000000000004	-0.21689753285155658	-0.14079365927736037
0.025	0.45	-0.215909919087967	-0.14249078479490745
0.025	0.47500000000000003	-0.2148561128148677	-0.14429082471519175
0.025	0.5	-0.21376082703680505	-0.1461500717683271
0.025	0.525	-0.21265011355694072	-0.14802363379331562
0.025	0.55	-0.21155069109655697	-0.14986665956798884
0.025	0.5750000000000001	-0.21048919782932013	-0.15163556390056104
0.025	0.6000000000000001	-0.2094914005333199	-0.15328919749690462
0.025	0.625	-0.2085814070533041	-0.15478990194770617
0.025	0.65	-0.20778094095763722	-0.15610438929500714
0.025	0.675	-0.20710874155533238	-0.15720439319729979
0.025	0.7000000000000001	-0.20658014175108041	-0.15806706003320936
0.025	0.7250000000000001	-0.2062068459301562	-0.15867508630941077
0.025	0.75	-0.20599688401429217	-0.15901665834500037
0.025	0.775	-0.20595467211822466	-0.15908529465431387
0.025	0.8	-0.20608108856412907	-0.15887970718616104
0.025	0.8250000000000001	-0.20637349326207138	-0.1584037686029417
0.025	0.8500000000000001	-0.20682567386531917	-0.15766660534934915
0.025	0.875	-0.2074277661999391	-0.15668275965673747
0.025	0.9	-0.20816623601938128	-0.15547231298669836
0.025	0.925	-0.20902400691910014	-0.15406085765032218
0.025	0.9500000000000001	-0.20998078260364286	-0.152479236316419
0.025	0.9750000000000001	-0.2110135630883918	-0.15076301891096444
0.025	1.0	-0.2120973150210025	-0.14895173157970784
0.05	0.0	-0.23664288941126754	-0.10085081746870007
0.05	0.025	-0.23748293695872544	-0.09852479883229992
0.05	0.05	-0.2382998373206279	-0.09625646012425054
0.05	0.07500000000000001	-0.23907464797092548	-0.09409916257490358
0.05	0.1	-0.2397896823657828	-0.092103272203074
0.05	0.125	-0.2404288813886172	-0.09031498581621696
0.05	0.15000000000000002	-0.24097811729193244	-0.08877532028519111
0.05	0.17500000000000002	-0.2414254318819427	-0.08751927644489468
0.05	0.2	-0.24176121480267354	-0.08657517632017636
0.05	0.225	-0.24197833017203646	-0.08596416375659764
0.05	0.25	-0.24207220046219924	-0.08569985439951194
0.05	0.275	-0.2420408555612282	-0.08578812101160724
0.05	0.30000000000000004	-0.24188495271627125	-0.08622700352758782
0.05	0.325	-0.2416077699596489	-0.08700673889440928
0.05	0.35000000000000003	-0.24121517214006402	-0.08810991237496156
0.05	0.375	-0.24071554532944778	-0.08951173829490401
0.05	0.4	-0.24011969265090413	-0.09118048289322833
0.05	0.42500000000000004	-0.23944068293031237	-0.09307804379067158
0.05	0.45	-0.23869364338556562	-0.09516069862113702
0.05	0.47500000000000003	-0.23789548907663274	-0.09738002898898127
0.05	0.5	-0.23706458511247266	-0.09968401516793056
0.05	0.525	-0.23622034248815987	-0.10201828274114012
0.05	0.55	-0.23538275448595575	-0.10432746651834741
0.05	0.5750000000000001	-0.2345718871187929	-0.10655664215719153
0.05	0.6000000000000001	-0.2338073431742355	-0.10865276492692152
0.05	0.625	-0.23310772392516738	-0.11056605066727226
0.05	0.65	-0.23249011443724502	-0.11225123787791294
0.05	0.675	-0.23196961687699602	-0.11366868204270207
0.05	0.7000000000000001	-0.23155895124050122	-0.11478525180970642
0.05	0.7250000000000001	-0.23126813536257024	-0.11557501779370309
0.05	0.75	-0.2311042477537836	-0.11601974378231097
0.05	0.775	-0.23107127006516973	-0.11610920244280507
0.05	0.8	-0.23117000275948069	-0.11584134031777507
0.05	0.8250000000000001	-0.23139804856399432	-0.11522230984000438
0.05	0.8500000000000001	-0.23174986244013818	-0.11426637228422688
0.05	0.875	-0.2322168716800096	-0.11299566028114302
0.05	0.9	-0.23278767255532629	-0.11143977753393285
0.05	0.925	-0.23344830885218332	-0.1096352110090856
0.05	0.9500000000000001	-0.23418263245621687	-0.10762453858732801
0.05	0.9750000000000001	-0.23497273833223337	-0.1054554313273769
0.05	1.0	-0.23579945803116484	-0.10317947019171478
0.07500000000000001	0.0	-0.25564397451296367	-0.04383682988589433
