ky	kz	wcc_0	wcc_1
0.0	0.0	-1.1815435324412815	-0.39171804253595766
0.0	0.025	-3.330669073875479e-16	-6.54858112181243e-17
0.0	0.05	-4.128641872824802e-16	2.2112303307841843e-16
0.0	0.07500000000000001	-2.4286128663675285e-16	-1.512462030617277e-17
0.0	0.1	-0.0	2.690176640479657e-18
0.0	0.125	6.938893903907222e-17	1.804112415015877e-16
0.0	0.15000000000000002	-6.615157911466626e-17	-2.775557561562892e-16
0.0	0.17500000000000002	-4.835541689285356e-17	8.326672684688674e-17
0.0	0.2	-0.0	5.971582278142816e-17
0.0	0.225	-0.0	5.4332081368679816e-17
0.0	0.25	3.226585665316863e-16	-3.3306690738754736e-16
0.0	0.275	8.326672684688667e-17	-1.8041124150158774e-16
0.0	0.30000000000000004	7.63278329429795e-17	4.199928165665724e-17
0.0	0.325	2.775557561562899e-17	-5.2573640970179913e-17
0.0	0.35000000000000003	8.32667268468868e-17	-2.211772431870433e-16
0.0	0.375	4.4408920985006143e-16	-4.718447854656903e-16
0.0	0.4	1.110223024625159e-16	-9.504387294551051e-17
0.0	0.42500000000000004	-2.271403551357131e-17	-2.2204460492503126e-16
0.0	0.45	-3.962758940434509e-17	-0.0
0.0	0.47500000000000003	7.686993402922225e-17	-4.440892098500626e-16
0.0	0.5	1.170938346284346e-17	-8.187894806610549e-16
0.0	0.525	-1.4571677198205214e-16	6.661338147750957e-16
0.0	0.55	2.2204460492503116e-16	3.7990444123892016e-16
0.0	0.5750000000000001	4.44089209850064e-16	-1.196959198424e-16
0.0	0.6000000000000001	-1.110223024625159e-16	1.3166551182663966e-15
0.0	0.625	1.7433970933566936e-16	1.5543122344752227e-15
0.0	0.65	1.0104764247564895e-16	1.6653345369377344e-15
0.0	0.675	-0.0	-1.2767564783189306e-15
0.0	0.7000000000000001	-1.1102230246251548e-16	-5.499073418846477e-16
0.0	0.7250000000000001	3.3306690738754696e-16	-5.96744875736022e-16
0.0	0.75	2.2204460492503116e-16	-3.018418848199645e-16
0.0	0.775	2.220446049250313e-16	-3.330669073875468e-16
0.0	0.8	1.7382471330373776e-16	1.0581813203458521e-16
0.0	0.8250000000000001	2.636779683484741e-16	5.551115123125775e-17
0.0	0.8500000000000001	1.0776969594505914e-16	-8.18789480661054e-16
0.0	0.875	6.938893903907233e-17	-1.1709383462843438e-16
0.0	0.9	-4.1633363423443413e-17	6.661338147750936e-16
0.0	0.925	2.346213501258635e-16	6.661338147750949e-16
0.0	0.9500000000000001	-3.8944542035679137e-16	-4.4408920985006153e-16
0.0	0.9750000000000001	-1.5785983631388917e-16	-0.0
0.0	1.0	3.105155021998474e-16	-6.661338147750926e-16
0.025	0.0	-7.771561172376092e-16	1.0581813203458569e-16
0.025	0.025	-2.6645352591003757e-15	3.608224830031759e-15
0.025	0.05	1.0169816377914046e-16	5.551115123125796e-16
0.025	0.07500000000000001	1.1102230246251563e-16	2.2123145329566718e-16
0.025	0.1	1.1102230246251538e-16	-2.498001805406598e-16
0.025	0.125	-0.0	-1.2957571213917363e-16
0.025	0.15000000000000002	-3.337309812181944e-17	-2.2204460492503155e-16
0.025	0.17500000000000002	-3.0898067849942436e-17	-3.3306690738754765e-16
0.025	0.2	-8.449153648861656e-17	1.1102230246251558e-16
0.025	0.225	1.0408340855860852e-17	-4.207043242422652e-17
0.025	0.25	2.2009304101455734e-17	-1.3877787807814432e-17
0.025	0.275	5.204170427930421e-18	-1.1384122811097784e-17
0.025	0.30000000000000004	3.642919299551306e-17	-4.8572257327350814e-17
0.025	0.325	-5.6657186808893e-17	-1.110223024625159e-16
0.025	0.35000000000000003	6.106226635438353e-16	-5.551115123125777e-16
0.025	0.375	5.2800645800044134e-17	-6.938893903907259e-18
0.025	0.4	6.079663682212474e-17	-3.330669073875465e-16
0.025	0.42500000000000004	-8.40798784762507e-17	-2.2204460492503091e-16
0.025	0.45	1.110223024625158e-16	1.2544219135657264e-16
0.025	0.47500000000000003	2.7755575615628852e-17	-1.2327378701160185e-16
